Red Ale / International Amber Ale,United States of America,112.44
Red Ale / International Amber Ale,United Kingdom,32.56
Red Ale / International Amber Ale,Australia,10.81
Saison / Farmhouse - Dark,United States of America,127.32
Saison / Farmhouse - Dark,United Kingdom,17.82
Saison / Farmhouse - Dark,Belgium,14.42
Saison / Farmhouse - Flavored,United States of America,184.47
Saison / Farmhouse - Flavored,Belgium,4.07
Saison / Farmhouse - Flavored,Canada,3.91
Saison / Farmhouse / Grisette,United States of America,186.07
Saison / Farmhouse / Grisette,Canada,7.84
Saison / Farmhouse / Grisette,Belgium,3.96
Saké - Daiginjo,Japan,77.47
Saké - Genshu,Japan,16.21
Saké - Genshu,United States of America,6.76
Saké - Genshu,Canada,3.28
Saké - Ginjo,Japan,79.81
Saké - Ginjo,United States of America,35.94
Saké - Ginjo,Norway,3.11
Saké - Honjozo,Japan,33.74
Saké - Infused,Japan,30.46
Saké - Infused,United States of America,27.92
Saké - Infused,Sweden,3.22
Saké - Junmai,Japan,91.17
Saké - Junmai,United States of America,16.7
Saké - Junmai,Norway,15.86
Saké - Koshu,Japan,14.06
Saké - Koshu,Norway,3.12
Saké - Namasaké,Japan,27.29
Saké - Namasaké,United States of America,14.75
Saké - Namasaké,Canada,3.42
Saké - Nigori,Japan,53.31
Saké - Nigori,United States of America,22.81
Saké - Nigori,Canada,3.46
Saké - Taru,Japan,19.9
Saké - Tokubetsu,Japan,31.81
Schwarzbier / Black Lager,United States of America,90.9
Schwarzbier / Black Lager,Germany,24.26
Schwarzbier / Black Lager,Italy,10.4
Scotch Ale / Wee Heavy,United States of America,107.26
Scotch Ale / Wee Heavy,Canada,45.57
Scotch Ale / Wee Heavy,United Kingdom,15.07
Scottish Ale,United States of America,131.6
Scottish Ale,Canada,13.22
Scottish Ale,Poland,6.79
Smoked - Other,United States of America,54.94
Smoked - Other,Poland,51.65
Smoked - Other,United Kingdom,18.01
Smoked - Rauchbier,Germany,51.86
Smoked - Rauchbier,United States of America,50.2
Smoked - Rauchbier,Poland,25.83
Sour / Wild Beer,United States of America,158.09
Sour / Wild Beer,Belgium,23.4
Sour / Wild Beer,Canada,7.79
Sour / Wild Beer - Dark,United States of America,128.89
Sour / Wild Beer - Dark,Poland,15.49
Sour / Wild Beer - Dark,Canada,15.23
Sour / Wild Beer - Flavored,United States of America,172.78
Sour / Wild Beer - Flavored,Denmark,12.0
Sour / Wild Beer - Flavored,Belgium,7.95
Sour Flemish Ale - Flanders Red / Oud Bruin,United States of America,129.22
Sour Flemish Ale - Flanders Red / Oud Bruin,Belgium,35.65
Sour Flemish Ale - Flanders Red / Oud Bruin,Poland,7.77
Specialty Grain - Other,United States of America,64.66
Specialty Grain - Other,Canada,23.84
Specialty Grain - Other,Poland,20.71
Specialty Grain - Rye / Roggenbier,United States of America,128.75
Specialty Grain - Rye / Roggenbier,United Kingdom,10.44
Specialty Grain - Rye / Roggenbier,Estonia,7.22
Stout,United States of America,122.35
Stout,United Kingdom,22.42
Stout,Canada,7.45
Stout - Dry / Irish,United States of America,75.27
Stout - Dry / Irish,United Kingdom,54.72
Stout - Dry / Irish,Poland,14.4
Stout - Extra / Foreign / Tropical,United States of America,78.29
Stout - Extra / Foreign / Tropical,United Kingdom,34.34
Stout - Extra / Foreign / Tropical,Poland,26.54
Stout - Flavored / Pastry,United States of America,135.39
Stout - Flavored / Pastry,Denmark,15.6
Stout - Flavored / Pastry,United Kingdom,15.56
Stout - Imperial,United States of America,141.18
Stout - Imperial,Sweden,17.16
Stout - Imperial,Netherlands,12.49
Stout - Imperial Flavored / Pastry,United States of America,173.58
Stout - Imperial Flavored / Pastry,Denmark,12.62
Stout - Imperial Flavored / Pastry,Sweden,8.35
Stout - Milk / Sweet,United States of America,102.64
Stout - Milk / Sweet,United Kingdom,29.44
Stout - Milk / Sweet,Poland,14.9
Stout - Oatmeal,United States of America,121.37
Stout - Oatmeal,Poland,22.02
Stout - Oatmeal,United Kingdom,18.5
Strong Ale - American,United States of America,169.6
Strong Ale - American,Estonia,11.73
Strong Ale - American,Netherlands,7.77
Strong Ale - English,United Kingdom,83.66
Strong Ale - English,United States of America,57.46
Strong Ale - English,Netherlands,11.15
Traditional Ale - Other,United States of America,80.83
Traditional Ale - Other,United Kingdom,26.0
Traditional Ale - Other,Denmark,18.1
Tripel,Belgium,67.96
Tripel,Canada,48.98
Tripel,United States of America,48.7
Weissbier - Dunkelweizen,Germany,64.91
Weissbier - Dunkelweizen,United States of America,58.42
Weissbier - Dunkelweizen,Canada,17.15
Weissbier - Hefeweizen,United States of America,91.89
Weissbier - Hefeweizen,Germany,36.0
Weissbier - Hefeweizen,Poland,17.51
Weissbier - Kristallweizen,Germany,95.27
Weissbier - Kristallweizen,United States of America,32.35
Weissbier - Kristallweizen,Japan,9.26
Weissbier - Weizenbock,United States of America,72.28
Weissbier - Weizenbock,Germany,43.67
Weissbier - Weizenbock,Canada,21.62
Wheat Ale,United States of America,70.97
Wheat Ale,Poland,42.34
Wheat Ale,United Kingdom,21.13
Wheat Ale - India / Hopfenweisse,United Kingdom,42.06
Wheat Ale - India / Hopfenweisse,Germany,38.38
Wheat Ale - India / Hopfenweisse,United States of America,34.93
Witbier / Belgian White Ale,United States of America,72.4
Witbier / Belgian White Ale,Canada,28.75
Witbier / Belgian White Ale,Belgium,28.62
Zwickelbier / Kellerbier / Landbier,Germany,111.76
Zwickelbier / Kellerbier / Landbier,United States of America,39.23
Zwickelbier / Kellerbier / Landbier,Canada,17.82
